incident_id,service_id,team_id,severity,status,opened_at,resolved_at,root_cause,customer_impact,description
I1,S12,T6,SEV1,resolved,2024-05-23,2024-05-23 03:39:00,dependency_failure,True,Auto-generated incident
I2,S8,T5,SEV3,resolved,2024-09-06,2024-09-06 00:29:00,dependency_failure,True,Auto-generated incident
I3,S3,T6,SEV4,resolved,2024-10-01,2024-10-01 03:42:00,infrastructure,False,Auto-generated incident
I4,S12,T6,SEV3,resolved,2024-08-26,2024-08-26 00:25:00,infrastructure,True,Auto-generated incident
I5,S12,T6,SEV2,resolved,2024-10-27,2024-10-27 01:13:00,dependency_failure,True,Auto-generated incident
I6,S5,T6,SEV3,resolved,2024-02-14,2024-02-14 00:36:00,dependency_failure,True,Auto-generated incident
I7,S9,T7,SEV2,resolved,2024-02-25,2024-02-25 01:21:00,configuration,False,Auto-generated incident
I8,S4,T4,SEV3,resolved,2024-08-15,2024-08-15 01:33:00,configuration,False,Auto-generated incident
I9,S11,T6,SEV3,resolved,2024-09-01,2024-09-01 02:28:00,dependency_failure,True,Auto-generated incident
I10,S2,T5,SEV3,resolved,2024-03-18,2024-03-18 03:04:00,infrastructure,False,Auto-generated incident
I11,S9,T7,SEV4,resolved,2024-05-06,2024-05-06 02:08:00,configuration,False,Auto-generated incident
I12,S9,T7,SEV3,resolved,2024-04-29,2024-04-29 03:00:00,deployment_bug,True,Auto-generated incident
I13,S2,T5,SEV2,resolved,2024-07-27,2024-07-27 00:53:00,infrastructure,False,Auto-generated incident
I14,S6,T4,SEV3,resolved,2024-07-11,2024-07-11 01:19:00,dependency_failure,False,Auto-generated incident
I15,S10,T2,SEV4,resolved,2024-05-17,2024-05-17 01:39:00,infrastructure,True,Auto-generated incident
I16,S11,T6,SEV2,resolved,2024-10-16,2024-10-16 02:30:00,deployment_bug,True,Auto-generated incident
I17,S6,T4,SEV4,resolved,2024-04-06,2024-04-06 03:32:00,infrastructure,False,Auto-generated incident
I18,S7,T5,SEV4,resolved,2024-10-20,2024-10-20 03:36:00,dependency_failure,True,Auto-generated incident
I19,S12,T6,SEV4,resolved,2024-01-12,2024-01-12 00:56:00,deployment_bug,False,Auto-generated incident
I20,S6,T4,SEV1,resolved,2024-02-13,2024-02-13 02:33:00,infrastructure,False,Auto-generated incident
I21,S8,T5,SEV1,resolved,2024-07-02,2024-07-02 03:31:00,infrastructure,False,Auto-generated incident
I22,S12,T6,SEV4,resolved,2024-01-11,2024-01-11 02:15:00,infrastructure,True,Auto-generated incident
I23,S3,T6,SEV2,resolved,2024-10-18,2024-10-18 01:03:00,configuration,False,Auto-generated incident
I24,S8,T5,SEV2,resolved,2024-02-07,2024-02-07 00:15:00,deployment_bug,True,Auto-generated incident
I25,S5,T6,SEV4,resolved,2024-03-26,2024-03-26 01:39:00,dependency_failure,True,Auto-generated incident
I26,S2,T5,SEV3,resolved,2024-08-28,2024-08-28 02:53:00,dependency_failure,False,Auto-generated incident
I27,S9,T7,SEV4,resolved,2024-04-13,2024-04-13 00:53:00,configuration,True,Auto-generated incident
I28,S2,T5,SEV2,resolved,2024-06-27,2024-06-27 03:18:00,deployment_bug,False,Auto-generated incident
I29,S7,T5,SEV4,resolved,2024-10-04,2024-10-04 02:48:00,configuration,False,Auto-generated incident
I30,S5,T6,SEV4,resolved,2024-01-07,2024-01-07 01:07:00,configuration,True,Auto-generated incident
I31,S1,T3,SEV1,resolved,2024-06-30,2024-06-30 03:34:00,dependency_failure,True,Auto-generated incident
I32,S12,T6,SEV3,resolved,2024-08-22,2024-08-22 02:39:00,infrastructure,False,Auto-generated incident
I33,S7,T5,SEV3,resolved,2024-09-28,2024-09-28 00:16:00,configuration,True,Auto-generated incident
I34,S10,T2,SEV3,resolved,2024-02-20,2024-02-20 02:09:00,configuration,True,Auto-generated incident
I35,S9,T7,SEV2,resolved,2024-01-29,2024-01-29 03:55:00,deployment_bug,False,Auto-generated incident
I36,S9,T7,SEV3,resolved,2024-06-10,2024-06-10 01:43:00,configuration,True,Auto-generated incident
I37,S7,T5,SEV4,resolved,2024-07-05,2024-07-05 03:35:00,dependency_failure,True,Auto-generated incident
I38,S3,T6,SEV4,resolved,2024-06-08,2024-06-08 00:34:00,deployment_bug,False,Auto-generated incident
I39,S2,T5,SEV4,resolved,2024-03-25,2024-03-25 01:49:00,dependency_failure,True,Auto-generated incident
I40,S5,T6,SEV2,resolved,2024-06-04,2024-06-04 03:24:00,infrastructure,False,Auto-generated incident
I41,S3,T6,SEV3,resolved,2024-04-09,2024-04-09 00:50:00,configuration,True,Auto-generated incident
I42,S9,T7,SEV3,resolved,2024-05-25,2024-05-25 01:11:00,infrastructure,False,Auto-generated incident
I43,S4,T4,SEV3,resolved,2024-02-16,2024-02-16 00:45:00,deployment_bug,True,Auto-generated incident
I44,S1,T3,SEV4,resolved,2024-08-10,2024-08-10 02:24:00,deployment_bug,True,Auto-generated incident
I45,S3,T6,SEV4,resolved,2024-05-14,2024-05-14 02:15:00,dependency_failure,True,Auto-generated incident
I46,S2,T5,SEV3,resolved,2024-10-04,2024-10-04 01:40:00,dependency_failure,False,Auto-generated incident
I47,S9,T7,SEV3,resolved,2024-07-13,2024-07-13 02:50:00,deployment_bug,False,Auto-generated incident
I48,S12,T6,SEV2,resolved,2024-02-11,2024-02-11 01:52:00,deployment_bug,True,Auto-generated incident
I49,S7,T5,SEV4,resolved,2024-03-18,2024-03-18 00:48:00,deployment_bug,False,Auto-generated incident
I50,S6,T4,SEV2,resolved,2024-06-03,2024-06-03 00:36:00,dependency_failure,False,Auto-generated incident
I51,S11,T6,SEV2,resolved,2024-08-27,2024-08-27 01:05:00,configuration,True,Auto-generated incident
I52,S1,T3,SEV4,resolved,2024-06-25,2024-06-25 01:37:00,deployment_bug,True,Auto-generated incident
I53,S8,T5,SEV4,resolved,2024-06-25,2024-06-25 03:36:00,dependency_failure,False,Auto-generated incident
I54,S2,T5,SEV3,resolved,2024-05-14,2024-05-14 01:28:00,configuration,False,Auto-generated incident
I55,S11,T6,SEV4,resolved,2024-06-18,2024-06-18 00:37:00,dependency_failure,True,Auto-generated incident
I56,S5,T6,SEV3,resolved,2024-04-15,2024-04-15 00:48:00,configuration,False,Auto-generated incident
I57,S4,T4,SEV4,resolved,2024-04-18,2024-04-18 01:03:00,dependency_failure,True,Auto-generated incident
I58,S9,T7,SEV4,resolved,2024-03-22,2024-03-22 01:47:00,deployment_bug,False,Auto-generated incident
I59,S12,T6,SEV3,resolved,2024-05-22,2024-05-22 02:07:00,infrastructure,False,Auto-generated incident
I60,S2,T5,SEV4,resolved,2024-09-26,2024-09-26 02:59:00,dependency_failure,False,Auto-generated incident
I61,S9,T7,SEV3,resolved,2024-02-28,2024-02-28 01:41:00,dependency_failure,False,Auto-generated incident
I62,S9,T7,SEV4,resolved,2024-04-02,2024-04-02 01:10:00,configuration,False,Auto-generated incident
I63,S7,T5,SEV2,resolved,2024-04-16,2024-04-16 00:28:00,infrastructure,False,Auto-generated incident
